"","Study","N","N_CBC","Birthdate","BRCA1","BRCA1_d","BRCA2","BRCA2_d","CHEK2","CHEK2_d","SNP","Deg1Rel","Deg2Rel","BMI","OralBC","OralBC_bd","OralBC_ed","MenarcheAge","FirstPregAge","Parity","Menopausal","Smoker","Sm_PackYears","Alcohol","Al_DrinksPerWeek","Ethnicity","BreastDensity","Status","Status_ed","BRRM","BRRM_d","RRSO","RRSO_d","Number_BC","CBC","Diag_d","SideBC","TumorSize","Nodes","Nodes_PositiveSN","Nodes_Axillary","Nodes_Number","Metastasis","Metastasis_Site","Multifocal","Bilateral","ERStatus","PRStatus","HER2Status","Morphology","DCIS","Surgery","Surgery_Type","Surgery_d","Radiotherapy","Radiotherapy_bd","Radiotherapy_ed","Radiotherapy_Adj","Radiotherapy_Neo","Radiotherapy_Site","Chemotherapy","Chemotherapy_bd","Chemotherapy_ed","Chemotherapy_Adj","Chemotherapy_Neo","Chemotherapy_Type","Chemotherapy_number","HormonalTherapy","HormonalTherapy_bd","HormonalTherapy_ed","HormonalTherapy_Type","Monoclonal","Monoclonal_bd","Monoclonal_ed","Monoclonal_Type","CRRM","CRRM_d","FU_Recurrence","FU_Recurrence_d","FU_Recurrence_Site","FU_Recurrence_Therapy","FU_Metastasis","FU_Metastasis_d","FU_Metastasis_Site","FU_Metastasis_Therapy","FU_OtherMalig","FU_OtherMalig_Type","FU_OtherMalig_d","FU_OtherMalig_Site","FU_OtherMalig_Stage","FU_OtherMalig_Therapy"
"1","ABCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BCAC",91587,6884,"Must Request","Must Request","Must Request","Must Request","Must Request","Not available","Not available","Not available","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Must Request","Currently Have","Currently Have","Must Request","Must Request","Must Request","Must Request","Must Request","Not available","Currently Have","Currently Have","Not available","Not available","Not available","Not available","Not available","Currently Have","Currently Have","Not available","Currently Have","Currently Have","Currently Have","Not available","Currently Have","Currently Have","Not available","Not available","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Not available","Currently Have","Not available","Not available","Currently Have","Not available","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Currently Have","Not available","Not available","Not available","Currently Have","Currently Have","Currently Have","Not available","Currently Have","Currently Have","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"3","BOSOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CIMBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Erasmus BCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HEBON",10000,NA,"Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Not available","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Not available","Not available","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Not available","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request",NA,NA,NA,NA,"Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Must Request","Not available","Not available","Not available","Must Request","Must Request","Must Request","Must Request","Must Request","Not available","Must Request","Must Request","Must Request","Not available","Must Request","Must Request","Must Request","Must Request","Not available","Not available"
"7","IBCCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Origo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","TTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
