"","Study","N","N_CBC","Birthdate","BRCA1","BRCA1_d","BRCA2","BRCA2_d","CHEK2","CHEK2_d","SNP","Deg1Rel","Deg2Rel","BMI","OralBC","OralBC_bd","OralBC_ed","MenarcheAge","FirstPregAge","Parity","Menopausal","Smoker","Sm_PackYears","Alcohol","Al_DrinksPerWeek","Ethnicity","BreastDensity","Status","Status_ed","BRRM","BRRM_d","RRSO","RRSO_d","Number_BC","CBC","Diag_d","SideBC","TumorSize","Nodes","Nodes_PositiveSN","Nodes_Axillary","Nodes_Number","Metastasis","Metastasis_Site","Multifocal","Bilateral","ERStatus","PRStatus","HER2Status","Morphology","DCIS","Surgery","Surgery_Type","Surgery_d","Radiotherapy","Radiotherapy_bd","Radiotherapy_ed","Radiotherapy_Adj","Radiotherapy_Neo","Radiotherapy_Site","Chemotherapy","Chemotherapy_bd","Chemotherapy_ed","Chemotherapy_Adj","Chemotherapy_Neo","Chemotherapy_Type","Chemotherapy_number","HormonalTherapy","HormonalTherapy_bd","HormonalTherapy_ed","HormonalTherapy_Type","Monoclonal","Monoclonal_bd","Monoclonal_ed","Monoclonal_Type","CRRM","CRRM_d","FU_Recurrence","FU_Recurrence_d","FU_Recurrence_Site","FU_Recurrence_Therapy","FU_Metastasis","FU_Metastasis_d","FU_Metastasis_Site","FU_Metastasis_Therapy","FU_OtherMalig","FU_OtherMalig_Type","FU_OtherMalig_d","FU_OtherMalig_Site","FU_OtherMalig_Stage","FU_OtherMalig_Therapy"
"1","ABCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BCAC",91587,6884,NA,NA,NA,NA,NA,NA,NA,NA,0.473031059345535,0.473031059345535,0.54329589572934,0.67947518025513,0.793096575152524,0.793538546866334,0.54285392401553,NA,0.509246741541875,0.508440793122574,NA,NA,NA,NA,NA,NA,0.204624237382141,0.274871741541875,NA,NA,NA,NA,NA,0.227528771491958,0.132496186910704,NA,0.411822310038824,0.353074736550194,0.516222961730449,NA,0.516222961730449,0.722857737104825,NA,NA,0.227528771491958,0.337510399334443,0.417567942318358,0.569450221852468,0.281405990016639,0.0814527870216306,0.476705490848586,0.476705490848586,NA,0.515625,NA,NA,0.515625,NA,0.515625,0.517696200776484,0.918495216306156,0.946694744869662,0.517696200776484,0.678019273433167,0.602078133666112,0.661363006100943,0.512444536882973,0.884264073765946,0.961912437603993,0.549734816971714,0.749341375485302,0.988092762063228,0.992027176927343,NA,NA,NA,0.527176927343317,0.914664794786467,0.527176927343317,NA,0.57010018025513,0.89691659733777,NA,NA,NA,NA,NA,NA,NA,NA
"3","BOSOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CIMBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Erasmus BCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HEBON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","IBCCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Origo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","TTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
